DATE,DS (DOBSON),
4/17/2023,267.6,255.4
4/25/2023,272.6,252
4/26/2023,243.8,245.2
4/27/2023,246.5,238.3
4/28/2023,254.2,
5/2/2023,244.5,240.8
5/3/2023,263.8,249.5
5/4/2023,256.9,253.7
5/5/2023,237.6,243.4
5/8/2023,244.2,256.4
5/9/2023,259.8,267.9
5/10/2023,252.6,
5/11/2023,254.2,
5/12/2023,250.9,253.1
5/15/2023,242.8,243
5/16/2023,240.2,252.7
5/17/2023,282.9,258.5
5/18/2023,261.8,253.6
5/19/2023,254.6,
5/22/2023,263.2,
5/23/2023,254.8,255.8
5/24/2023,264.9,254.5
5/25/2023,269.6,262.9
5/26/2023,262.1,248.2
5/29/2023,254.5,
5/30/2023,257,
5/31/2023,250.8,247
6/2/2023,250.6,
6/5/2023,256.8,256.8
6/6/2023,252,257.6
6/7/2023,257.6,259.8
6/8/2023,281.1,
6/9/2023,260.5,253
6/12/2023,261.9,254.4
6/13/2023,257.7,256.4
6/14/2023,252.1,246.4
6/15/2023,250.9,
6/16/2023,253,251.9
6/19/2023,251.9,248.2
6/20/2023,251.9,
6/21/2023,252.5,
6/22/2023,250.4,
6/23/2023,255.8,
6/26/2023,255.5,254.8
6/27/2023,253.9,
6/29/2023,256.4,254.2
6/30/2023,253.2,248.3
7/3/2023,247.2,
7/4/2023,253.4,
7/5/2023,252.8,
7/6/2023,250.2,
7/7/2023,253.3,
7/10/2023,265.2,
7/11/2023,257.7,
7/13/2023,251.8,
7/14/2023,257.7,254.7
7/17/2023,246.4,
7/18/2023,247.6,
7/19/2023,241.8,
7/20/2023,252.4,
7/21/2023,241.2,235.3
7/24/2023,256.9,247
7/25/2023,259.4,248.7
7/26/2023,258.9,255.7
7/27/2023,262.1,252.1
7/28/2023,257.4,
7/31/2023,266.4,255.3
8/1/2023,262.3,256.9
8/2/2023,260.1,
8/3/2023,256.1,
8/4/2023,254.1,
8/7/2023,260.8,247.5
8/8/2023,250.8,
8/9/2023,247.4,
8/10/2023,253.7,256.6
8/11/2023,250,
8/14/2023,259,256
8/15/2023,262.4,257
8/16/2023,247.4,258.5
8/17/2023,256.6,
8/18/2023,270,258.2
8/21/2023,265.1,248
8/22/2023,264.9,258.4
8/23/2023,264.1,260.8
8/24/2023,265.2,259
8/25/2023,266.4,268
8/28/2023,253.5,
8/29/2023,253.4,
8/30/2023,250.1,
8/31/2023,256,
9/1/2023,264.4,256.8
9/4/2023,261.3,254.2
9/5/2023,266,
9/6/2023,263.8,249.3
9/7/2023,256.6,250.2
9/8/2023,253.6,
9/11/2023,257.7,247.2
9/12/2023,259.7,251.1
9/13/2023,251.5,
9/14/2023,266.9,257.7
9/15/2023,254.1,
9/18/2023,260.3,253.6
9/19/2023,266,266
9/20/2023,262.2,258.6
9/21/2023,262.6,261.2
9/22/2023,254.7,248.2
9/25/2023,257.8,246.8
9/26/2023,255.7,
9/27/2023,256.4,244.2
9/28/2023,259.1,251.8
9/29/2023,255.8,251.1
10/2/2023,252.3,263.4
10/3/2023,257.1,
10/4/2023,242.7,
10/5/2023,248.1,
10/6/2023,250.2,246.1
10/9/2023,252.9,
10/11/2023,253.5,250.2
10/12/2023,249,
10/13/2023,248.7,247.3
10/16/2023,258.3,246.2
10/17/2023,252.9,249.8
10/18/2023,257,248.1
10/19/2023,248.8,
10/23/2023,256.8,245.8
10/24/2023,253.1,
10/25/2023,253.7,256.9
10/26/2023,246.6,
10/27/2023,250.4,
10/30/2023,247.7,242.1
10/31/2023,246.8,243.6
11/1/2023,252.6,245.5
11/2/2023,239.4,
11/3/2023,242.6,
11/6/2023,238.8,236.7
11/7/2023,247.4,236.5
11/8/2023,242.8,
11/9/2023,249.1,236.2
11/10/2023,238.3,
11/14/2023,238.5,234.4
11/15/2023,238.3,
11/16/2023,232.9,
11/17/2023,235.8,
11/20/2023,234.7,
11/21/2023,239.3,235.1
11/22/2023,240.3,239.1
11/23/2023,240,236.4
11/24/2023,233.5,
11/27/2023,243.1,
11/28/2023,234.9,
11/29/2023,244.9,241.9
11/30/2023,241.1,
12/1/2023,241.3,235
12/4/2023,241,234.1
12/5/2023,238.4,231.9
12/6/2023,236.9,233.4
12/7/2023,235.1,
12/8/2023,236.7,
12/11/2023,240.3,
12/13/2023,240,234.4
12/14/2023,235.5,234.6
12/15/2023,234.5,
12/18/2023,242,
12/19/2023,242,232.6
12/20/2023,241.1,
12/21/2023,245.3,250.3
12/22/2023,245.1,244.6
12/27/2023,240.3,
12/28/2023,252.5,
12/29/2023,242.4,243.8
1/2/2024,237.5,237.7
1/3/2024,233.7,
1/4/2024,230.5,231.7
1/5/2024,250.4,
1/8/2024,235.3,238.2
1/9/2024,240.8,240.2
1/10/2024,235.7,231.6
1/11/2024,234.9,
1/12/2024,243,233.8
1/15/2024,229.1,227.4
1/16/2024,229.8,219.8
1/17/2024,226.6,
1/18/2024,228.2,
1/19/2024,234.2,
1/22/2024,236.1,234.5
1/23/2024,241,235.6
1/24/2024,240.8,
1/25/2024,234.3,233.9
1/26/2024,232.2,
1/29/2024,237.3,236.3
1/30/2024,231.8,
1/31/2024,225.8,231.9
2/1/2024,235.1,
2/2/2024,232.3,237.2
2/5/2024,237.7,
2/6/2024,235.6,231.6
2/7/2024,232.6,227.9
2/8/2024,231.8,224.3
2/9/2024,234.1,220
2/12/2024,229.4,
2/13/2024,234.5,
2/14/2024,241.8,225.3
2/15/2024,240.7,
2/16/2024,241.2,
2/19/2024,240.4,
2/20/2024,236.3,239.6
2/21/2024,240.4,236.9
2/22/2024,240.4,248.4
2/23/2024,243.7,240.3
2/26/2024,221.6,234.4
2/27/2024,248.4,237.2
2/28/2024,241.6,244.3
2/29/2024,234.5,
3/1/2024,245.5,235.3
3/4/2024,234.1,236.7
3/5/2024,243.9,
3/6/2024,234.8,232.8
3/7/2024,231.8,237.2
3/8/2024,233.7,234.4
